,BHK,SQUARE_FT,Target,State
0,2,933.1597222,43.0,karnataka
1,2,999.009247,60.5,West Bengal
2,2,927.1779023,48.0,karnataka
3,3,2178.649237,120.0,karnataka
4,2,881.1435285,45.0,Tamil Nadu
5,3,1174.210077,55.0,Tamil Nadu
6,2,1020.087884,65.0,Maharashtra
7,3,1300.052002,75.0,karnataka
8,2,1058.114928,65.0,Maharashtra
9,2,986.0164934,55.0,Tamil Nadu
10,2,1049.969344,68.5,karnataka
11,3,1615.008157,99.0,West Bengal
12,3,1538.141758,74.0,karnataka
13,4,2260.251857,140.0,karnataka
14,2,985.0194952,48.0,karnataka
15,3,1118.75,53.7,Tamil Nadu
16,3,2738.22563,150.0,karnataka
17,3,1200.082764,58.0,West Bengal
18,2,1193.440032,60.4,Maharashtra
19,2,1115.1379980000002,80.0,karnataka
20,3,1298.219585,70.0,karnataka
21,2,1005.025126,48.0,karnataka
22,4,4900.959771,240.0,Maharashtra
23,2,1123.188406,62.0,karnataka
24,3,1513.775356,100.0,karnataka
25,2,890.0451868999999,65.0,Maharashtra
26,3,1636.296021,88.0,karnataka
27,2,1180.173092,75.0,karnataka
28,2,900.0163639,55.0,karnataka
29,4,2472.952087,160.0,Maharashtra
30,2,904.0656205,50.7,karnataka
31,2,1150.130348,75.0,Tamil Nadu
32,2,1210.136674,85.0,Maharashtra
33,2,1301.89498,90.0,karnataka
34,3,1846.153846,120.0,West Bengal
35,3,1415.09434,79.5,karnataka
36,3,1830.065359,98.0,karnataka
37,3,1530.0,76.5,karnataka
38,2,1199.862873,70.0,karnataka
39,2,1265.035255,61.0,karnataka
40,2,909.4339623,48.2,Tamil Nadu
41,2,1100.110011,70.0,Maharashtra
42,1,612.1199755,30.0,Tamil Nadu
43,2,632.0572844999999,45.9,Maharashtra
44,2,929.8998569,52.0,karnataka
45,1,524.0,26.2,Maharashtra
46,3,1657.275439,100.0,karnataka
47,3,1726.017442,95.0,karnataka
48,2,942.1518749,50.0,karnataka
49,3,1400.059577,94.0,karnataka
50,3,1350.063532,85.0,karnataka
51,3,1393.214227,85.0,karnataka
52,2,1125.175809,56.0,karnataka
53,1,1060.147122,49.0,karnataka
54,2,1288.102262,78.6,karnataka
55,3,2015.021066,110.0,karnataka
56,2,1080.080235,70.0,West Bengal
57,3,1289.872756,74.0,karnataka
58,3,1510.159253,110.0,karnataka
59,2,804.8649615,45.0,karnataka
60,2,1150.01465,78.5,Maharashtra
61,2,1150.030066,76.5,Maharashtra
62,2,1173.020528,84.0,Tamil Nadu
63,4,2541.699762,160.0,Tamil Nadu
64,2,1045.12276,63.0,karnataka
65,3,1969.667126,100.0,Maharashtra
66,2,930.0661778,52.0,Maharashtra
67,2,988.5365491,66.4,Maharashtra
68,3,1635.055592,100.0,karnataka
69,3,1447.054818,85.0,West Bengal
70,3,1512.401694,100.0,Maharashtra
71,3,1897.278651,99.0,karnataka
72,3,1510.989011,110.0,karnataka
73,1,628.9308176,37.0,karnataka
74,2,1225.186104,79.0,Maharashtra
75,3,1220.886551,65.0,West Bengal
76,3,1518.151815,92.0,karnataka
77,3,1336.184773,78.1,Tamil Nadu
78,3,1370.07874,87.0,karnataka
79,3,1930.235765,140.0,karnataka
80,3,2258.512856,130.0,Maharashtra
81,3,1821.125051,90.0,West Bengal
82,1,550.017188,32.0,Maharashtra
83,2,942.0022165,51.0,karnataka
84,2,1600.134748,95.0,karnataka
85,3,1326.963907,75.0,karnataka
86,3,1505.011565,97.6,karnataka
87,2,1296.111665,78.0,karnataka
88,2,1299.89295,85.0,Maharashtra
89,2,1165.13904,75.0,karnataka
90,3,1995.609659,100.0,West Bengal
91,3,1767.3521850000002,110.0,karnataka
92,1,675.024108,42.0,Maharashtra
93,2,1166.180758,60.0,karnataka
94,3,1449.781659,83.0,Maharashtra
95,4,4095.252541,270.0,karnataka
96,2,1207.200847,68.4,Maharashtra
97,2,1070.079731,51.0,karnataka
98,1,617.9671647000001,33.5,karnataka
99,2,777.1073322000001,42.5,Tamil Nadu
100,2,1085.169352,66.0,karnataka
101,2,1187.172371,77.0,West Bengal
102,3,1610.087294,83.0,karnataka
103,2,875.8683177000001,58.0,West Bengal
104,2,800.0,44.0,Maharashtra
105,2,989.927058,57.0,Tamil Nadu
106,3,1574.590606,87.5,karnataka
107,2,917.1252293,55.0,Maharashtra
108,2,1135.159679,75.0,Maharashtra
109,2,1050.030883,68.0,Maharashtra
110,2,760.5016922,38.2,West Bengal
111,2,1250.0,60.0,karnataka
112,3,1974.103163,93.0,karnataka
113,1,655.0218341,45.0,Maharashtra
114,3,1310.125398,70.0,West Bengal
115,3,1404.180629,88.0,karnataka
116,2,1159.885796,65.0,karnataka
117,3,1364.1585300000002,95.0,karnataka
118,2,905.0546448,53.0,karnataka
119,3,1527.183873,100.0,karnataka
120,3,2060.641743,140.0,karnataka
121,1,715.0983259999999,44.0,Maharashtra
